pair,min_centroid,min_footprint,t_centroid,t_footprint,ttc_accel_poly,ttc_cv_poly,ttc_accel_pt,clearance_overstatement,timing_lead
214-1322,2.0256102428836904,1.325009194978261,52.17869828405623,52.228725799189554,1.4500000000000006,1.800000000000001,,0.7006010479054294,-0.05002751513332271
837-865,3.1434672831284476,0.6819314909464231,208.21451798489167,207.96438040922507,,3.649999999999995,,2.4615357921820245,0.25013757566659933
193-198,7.426436977108024,5.563287257195315,44.42443343839111,44.8246535594577,1.7000000000000008,,,1.863149719912709,-0.4002201210665888
1220-1628,8.968511630832912,6.923932156857434,280.5543048676772,280.8544699584771,,,,2.044579473975478,-0.30016509079990783
1074-1081,1.5539538453525261,0.0,253.33933663514927,252.2887588173496,0.05,0.05,,1.5539538453525261,1.0505778177996774
1908-1910,5.713203381170606,2.6855145937848306,220.17109410175595,220.321176647156,2.499999999999999,,,3.0276887873857756,-0.15008254540003918
1114-1137,5.627743110638407,4.712675648349169,263.29481214668067,263.5949772374806,3.149999999999997,,,0.9150674622892376,-0.30016509079990783
735-1854,1.2464326334463072,0.44522765968717326,173.24528490669869,173.24528490669869,,,,0.8012049737591339,0.0
487-1768,2.7710221510463584,1.0222239870802952,135.3244284356396,133.97368552703986,1.4500000000000006,1.7500000000000009,,1.7487981639660632,1.3507429085997273
1-5,5.4756450217378845,4.14104753762571,0.9004952723998199,0.9004952723998199,1.1000000000000003,,,1.3345974841121748,0.0
1003-1014,5.631135860399305,3.0032356814658323,239.53174245835208,239.7818800340187,,3.2999999999999963,,2.627900178933473,-0.25013757566662775
1528-2043,2.2933778030516585,0.19380218116872783,185.3019160538296,185.3019160538296,,,,2.0995756218829307,0.0
456-527,1.2429257711537056,0.6085937602394438,135.7746760718395,135.72464855670617,0.65,0.7000000000000001,,0.6343320109142618,0.05002751513333692
1459-1476,5.105687794250153,3.9620094319099692,153.7845815198359,153.7845815198359,0.7500000000000001,,,1.143678362340184,0.0
1461-1830,6.241606137367371,3.607960864896512,154.885186852769,155.035269398169,,,,2.633645272470859,-0.15008254539998234
944-1910,5.207822720867057,2.138828256771191,219.1705437990895,219.1705437990895,,,,3.0689944640958657,0.0
634-639,9.11637784231904,6.349140502700749,154.93521436790235,154.885186852769,1.850000000000001,,,2.7672373396182905,0.05002751513333692
