agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
1050,1074,pedestrian,lcv,ped_veh,unresolved_conflict_zone,-0.7616,0.4502,0.8024,0.0,1.2429,0.05,0.69568,0.046658,1050,1074,lcv
1053,1060,pedestrian,lcv,ped_veh,agent_b_first,3.8329,3.1017,1.0448,0.7504,0.9768,0.85,0.59209,0.03971,1053,1060,lcv
1059,1062,pedestrian,lcv,ped_veh,agent_b_first,-2.4393,0.8004,1.323,0.0,0.1167,,0.02129,0.001428,1059,1062,lcv
1060,1062,lcv,lcv,veh_veh,agent_b_first,-1.6852,0.9005,1.0777,0.0,0.1561,,0.13125,0.005158,1060,1062,lcv
1060,1064,lcv,pedestrian,ped_veh,agent_b_first,-1.8572,0.9005,2.1155,0.1501,0.5871,,0.01473,0.000988,1060,1064,pedestrian
1060,1066,lcv,pedestrian,ped_veh,agent_b_first,-10.2159,1.4508,2.7331,0.8505,2.0934,,0.0,0.0,1060,1066,pedestrian
1065,1074,pedestrian,lcv,ped_veh,agent_a_first,-0.8861,0.8505,0.1117,0.0,0.5961,0.15,0.58215,0.039044,1065,1074,lcv
1066,1074,pedestrian,lcv,ped_veh,agent_b_first,-0.739,0.4002,2.5563,0.3002,1.4093,7.7,0.00136,9.1e-05,1066,1074,lcv
1074,1081,lcv,lcv,veh_veh,unresolved_conflict_zone,-0.836,2.3513,0.1772,0.0,0.5965,0.35,0.08007,0.003147,1074,1081,lcv
1074,1085,lcv,lcv,veh_veh,agent_a_first,-0.9641,2.0511,0.3139,0.0,0.8709,0.65,0.01566,0.000615,1074,1085,lcv
1074,1086,lcv,pedestrian,ped_veh,agent_a_first,-0.7876,1.5008,0.8356,0.0,1.091,1.3,0.00353,0.000236,1074,1086,pedestrian
1074,2725,lcv,pedestrian,ped_veh,agent_a_first,-2.7759,1.3007,1.0682,0.1001,0.9409,1.2,0.03997,0.002681,1074,2725,pedestrian
1074,2741,lcv,pedestrian,ped_veh,agent_b_first,-75.0934,0.0,1.6713,0.3502,4.5601,2.05,0.0,0.0,1074,2741,pedestrian
1074,2745,lcv,pedestrian,ped_veh,agent_a_first,0.5053,0.0,0.0527,0.0,0.4309,0.05,0.77953,0.052282,1074,2745,pedestrian
1074,2772,lcv,pedestrian,ped_veh,agent_b_first,-0.5168,0.0,0.1692,0.0,0.1129,0.1,0.50911,0.034145,1074,2772,pedestrian
1081,1084,lcv,pedestrian,ped_veh,agent_a_first,-0.969,0.1001,0.0919,0.05,0.5665,2.0,0.00017,1.1e-05,1081,1084,pedestrian
1081,1087,lcv,lcv,veh_veh,unresolved_conflict_zone,-0.1882,0.7504,0.736,0.0,0.1388,1.9,0.18068,0.0071,1081,1087,lcv
1081,1098,lcv,pedestrian,ped_veh,agent_a_first,-4.84,0.7504,0.1127,0.1001,1.0835,,0.0,0.0,1081,1098,pedestrian
1081,1100,lcv,cyclist,cyc_veh,agent_a_first,-1.8697,0.6504,1.1765,0.8505,2.1356,,0.0,0.0,1081,1100,cyclist
1081,1101,lcv,pedestrian,ped_veh,agent_a_first,-321.1762,0.9505,2.9617,0.0,2.4512,2.1,0.00016,1.1e-05,1081,1101,pedestrian
1081,2725,lcv,pedestrian,ped_veh,agent_a_first,-0.7007,0.4002,0.8041,1.4008,0.2908,0.15,0.41695,0.027964,1081,2725,pedestrian
1081,2736,lcv,pedestrian,ped_veh,agent_a_first,-0.1724,1.751,0.1881,0.9005,1.0377,0.55,0.27518,0.018456,1081,2736,pedestrian
1081,2741,lcv,pedestrian,ped_veh,agent_a_first,-9.2095,0.1001,4.503,0.0,1.4039,,0.0,0.0,1081,2741,pedestrian
1081,2772,lcv,pedestrian,ped_veh,agent_b_first,0.337,1.6009,0.9269,0.0,1.2556,,2e-05,2e-06,1081,2772,pedestrian
1081,2780,lcv,lcv,veh_veh,unresolved_conflict_zone,-2.6519,0.0,0.1669,0.0,0.1496,0.05,0.33127,0.013018,1081,2780,lcv
1084,2635,pedestrian,car,ped_veh,agent_a_first,-4.0892,2.3513,0.2116,0.0,0.7315,,0.2137,0.020732,1084,2635,car
