agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class,pattern
1174,1187,pedestrian,lcv,ped_veh,unresolved_conflict_zone,4.8208,1.0006,0.0121,0.0,0.1619,0.85,0.00407,0.000273,1174,1187,lcv,Unknown
1177,3187,pedestrian,car,ped_veh,agent_a_first,-3.8781,0.1501,0.8675,0.0,0.874,,0.02259,0.002191,1177,3187,car,Chaotic Negotiation
1178,3187,pedestrian,car,ped_veh,agent_b_first,-4.1073,1.751,2.2863,0.0,0.9638,,0.08736,0.008475,1178,3187,car,Unclear Advantage
1187,1188,lcv,lcv,veh_veh,agent_a_first,1.0091,1.7009,7.6554,0.0,0.7653,0.05,0.59816,0.023506,1187,1188,lcv,Unclear Advantage
1187,1195,lcv,cyclist,cyc_veh,agent_b_first,0.645,1.2507,3.1749,0.0,1.0006,9.7,0.0,0.0,1187,1195,cyclist,Unclear Advantage
1187,2838,lcv,pedestrian,ped_veh,agent_b_first,0.6578,0.0,0.5414,0.6504,1.6143,1.3,0.0,0.0,1187,2838,pedestrian,Chaotic Negotiation
1187,2893,lcv,pedestrian,ped_veh,agent_b_first,0.2127,0.2001,22.6197,0.0,1.8233,,0.0,0.0,1187,2893,pedestrian,Unclear Advantage
1188,1195,lcv,cyclist,cyc_veh,agent_b_first,0.3244,2.9516,3.846,1.4508,1.4622,1.8,0.00119,7.6e-05,1188,1195,cyclist,Unclear Advantage
1188,1202,lcv,cyclist,cyc_veh,agent_a_first,1.6161,0.7504,0.5997,0.0,0.8771,0.05,0.11716,0.007474,1188,1202,cyclist,Agent A Priority — Stable
1188,1213,lcv,lcv,veh_veh,agent_a_first,-0.491,0.5003,0.9041,0.2001,1.881,0.55,0.00041,1.6e-05,1188,1213,lcv,Unclear Advantage
