agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
873,900,lcv,pedestrian,ped_veh,agent_a_first,1.1169,0.3002,0.1822,0.2001,0.2759,0.3,0.01007,0.000676,873,900,pedestrian
873,1541,lcv,pedestrian,ped_veh,agent_b_first,-16.7418,0.0,2.9816,0.0,3.5455,,0.12365,0.008293,873,1541,pedestrian
873,1898,lcv,pedestrian,ped_veh,agent_b_first,-0.3027,0.3502,0.7584,0.7004,0.3035,0.2,0.10813,0.007252,873,1898,pedestrian
876,1898,motorcycle,pedestrian,ped_veh,agent_b_first,8.8385,0.8505,0.8994,0.4002,1.0754,0.4,0.01065,0.002144,876,1898,pedestrian
882,912,car,bus,veh_veh,unresolved_conflict_zone,-1.1378,0.0,0.2837,0.05,0.0594,0.15,0.04154,0.001733,882,912,bus
882,1904,car,car,veh_veh,unresolved_conflict_zone,-2.1394,0.0,0.2121,0.0,0.134,1.3,0.00156,9.4e-05,882,1904,car
884,1898,lcv,pedestrian,ped_veh,agent_a_first,1.126,0.8505,0.4033,0.6003,0.3612,0.8,0.01913,0.001283,884,1898,pedestrian
887,888,motorcycle,cyclist,cyc_veh,agent_a_first,1.0733,0.9005,2.2953,0.05,2.0123,1.1,0.0,0.0,887,888,cyclist
887,889,motorcycle,cyclist,cyc_veh,agent_b_first,-1.2906,0.4502,14.0353,0.3502,1.7302,1.25,0.0,0.0,887,889,cyclist
887,1541,motorcycle,pedestrian,ped_veh,agent_a_first,-13.1138,0.0,12.2623,0.0,7.3865,,0.0,0.0,887,1541,pedestrian
887,1898,motorcycle,pedestrian,ped_veh,agent_b_first,4.5036,0.2001,0.8486,0.0,0.9842,0.35,0.41638,0.083824,887,1898,pedestrian
892,1541,lcv,pedestrian,ped_veh,unresolved_conflict_zone,-1.3987,0.0,0.1575,0.2501,0.2314,0.45,0.05184,0.003477,892,1541,pedestrian
897,1541,lcv,pedestrian,ped_veh,agent_a_first,-7.4657,0.5003,0.958,0.0,1.1963,,0.60432,0.040531,897,1541,pedestrian
898,905,car,pedestrian,ped_veh,agent_b_first,0.4638,0.5503,0.6879,0.0,1.1584,,0.0,0.0,898,905,pedestrian
898,907,car,motorcycle,veh_veh,unresolved_conflict_zone,0.8678,0.0,0.1149,0.0,1.3781,,0.0,0.0,898,907,motorcycle
901,902,lcv,cyclist,cyc_veh,agent_b_first,-2.6524,0.8505,1.0538,0.2001,0.3152,0.3,0.28272,0.018035,901,902,cyclist
901,903,lcv,lcv,veh_veh,agent_b_first,-5.2364,0.8004,0.6226,0.2501,1.0152,1.0,0.00015,6e-06,901,903,lcv
901,905,lcv,pedestrian,ped_veh,agent_b_first,-3.1912,0.9005,1.3635,0.4002,1.6991,,0.0,0.0,901,905,pedestrian
901,1541,lcv,pedestrian,ped_veh,agent_b_first,-1.9671,0.5003,0.409,0.0,0.5937,0.15,0.15916,0.010675,901,1541,pedestrian
901,1549,lcv,pedestrian,ped_veh,agent_b_first,-0.4153,0.4502,0.1134,0.2001,0.2606,0.15,0.71854,0.048191,901,1549,pedestrian
902,903,cyclist,lcv,cyc_veh,unresolved_conflict_zone,0.459,0.0,0.2388,0.1501,0.6079,0.45,0.00122,7.8e-05,902,903,lcv
902,1549,cyclist,pedestrian,ped_veh,agent_a_first,1.4308,0.0,0.1086,0.05,0.2341,0.65,0.07377,0.016127,902,1549,pedestrian
903,905,lcv,pedestrian,ped_veh,agent_b_first,0.4748,0.2501,0.2243,0.0,0.6542,,0.384,0.025754,903,905,pedestrian
903,1548,lcv,car,veh_veh,agent_a_first,-3.3919,0.8505,5.9735,0.0,1.1698,0.05,0.22146,0.010555,903,1548,car
903,1549,lcv,pedestrian,ped_veh,agent_a_first,3.4409,0.0,0.1617,0.4002,1.1423,0.7,0.0,0.0,903,1549,pedestrian
908,918,lcv,pedestrian,ped_veh,agent_b_first,-6.825,0.0,0.1961,0.0,3.4941,,6e-05,4e-06,908,918,pedestrian
908,931,lcv,cyclist,cyc_veh,agent_b_first,2.2009,2.2012,0.9322,0.0,0.9357,2.2,0.10182,0.006495,908,931,cyclist
908,932,lcv,pedestrian,ped_veh,agent_b_first,2.2768,0.7504,9.7618,0.0,2.3631,4.75,0.00036,2.4e-05,908,932,pedestrian
908,933,lcv,cyclist,cyc_veh,agent_a_first,1.2789,0.1001,0.0013,0.0,0.264,0.05,0.33006,0.021054,908,933,cyclist
910,911,motorcycle,pedestrian,ped_veh,agent_a_first,1.414,0.2501,0.4604,0.0,0.1847,0.05,0.56646,0.114038,910,911,pedestrian
913,931,pedestrian,cyclist,ped_veh,agent_b_first,6.4247,0.9005,1.0732,0.0,1.2336,2.55,0.0,0.0,913,931,cyclist
917,1548,pedestrian,car,ped_veh,agent_a_first,-19.7288,0.4502,3.9903,0.0,4.2809,,0.0,0.0,917,1548,car
921,1548,pedestrian,car,ped_veh,agent_a_first,-5.785,1.0506,2.234,0.0,2.729,,0.00217,0.000211,921,1548,car
933,944,cyclist,truck,cyc_veh,agent_b_first,-0.3457,0.0,4.4127,0.0,1.1686,,0.0704,0.003771,933,944,truck
933,945,cyclist,pedestrian,ped_veh,agent_a_first,-0.9726,2.9516,12.3468,0.0,0.497,,0.03417,0.00747,933,945,pedestrian
933,1548,cyclist,car,cyc_veh,agent_a_first,4.9557,2.7015,2.3645,0.0,1.1149,0.3,0.16319,0.014642,933,1548,car
933,1908,cyclist,motorcycle,cyc_veh,agent_b_first,-7.074,0.05,2.2938,0.0,2.015,,0.0,0.0,933,1908,motorcycle
940,944,cyclist,truck,cyc_veh,unresolved_conflict_zone,1.1443,0.3002,0.5016,0.0,0.5508,,0.10665,0.005714,940,944,truck
940,945,cyclist,pedestrian,ped_veh,agent_a_first,-1.1776,3.552,11.3259,0.1001,0.2388,,0.15656,0.034228,940,945,pedestrian
940,1548,cyclist,car,cyc_veh,agent_a_first,0.6459,3.1017,5.4554,1.1506,1.1618,0.25,0.02725,0.002445,940,1548,car
940,1908,cyclist,motorcycle,cyc_veh,agent_b_first,-7.9543,0.1501,0.695,0.0,0.6209,,0.00342,0.000573,940,1908,motorcycle
944,945,truck,pedestrian,ped_veh,agent_a_first,0.8382,5.3029,0.335,0.6003,0.5164,0.35,0.10449,0.005834,944,945,pedestrian
944,1548,truck,car,veh_veh,agent_a_first,1.9438,2.1512,1.6751,0.2501,1.3404,0.2,0.10217,0.004263,944,1548,car
